City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches),Hotel Name
156,156,Yanam,IN,16.73,82.22,79.99,87,92,4.63,moderate rain,0.0,0,The Regency Hotel
159,159,Panzhihua,CN,26.59,101.71,73.11,77,100,1.59,overcast clouds,0.0,0,Electric Power Hotel
161,161,Wanning,CN,18.8,110.4,82.18,84,100,12.5,overcast clouds,0.0,0,Paradise Hotel
162,162,Harper,LR,4.38,-7.72,76.3,83,100,9.6,overcast clouds,0.0,0,Screensaver
163,163,Souillac,MU,-20.52,57.52,71.6,78,75,18.34,shower rain,0.0,0,Bils' Villa
165,165,Bairiki,KI,1.33,172.98,86.0,70,20,10.29,few clouds,0.0,0,Tarawa Boutique Hotel
168,168,Basco,PH,20.45,121.97,84.34,79,96,11.16,overcast clouds,0.0,0,Nathaniel's Lodge
169,169,Broome,US,42.25,-75.83,90.0,48,1,4.7,clear sky,0.0,0,Chenango Valley State Park
171,171,Portland,US,45.52,-122.68,77.0,49,75,3.36,broken clouds,0.0,0,Portland Marriott City Center
174,174,Bengkulu,ID,-3.8,102.27,75.34,88,100,7.25,overcast clouds,0.0,0,Grage Hotel Bengkulu
178,178,Maragogi,BR,-9.01,-35.22,75.7,86,47,7.74,light rain,0.0,0,Salinas do Maragogi All Inclusive Resort
187,187,Port Blair,IN,11.67,92.75,81.21,81,100,9.93,light rain,0.0,0,Hotel Sentinel
189,189,Taber,CA,49.82,-112.15,73.4,38,75,3.36,broken clouds,0.0,0,Taber Motel
193,193,Vila Do Maio,CV,15.13,-23.22,78.8,74,75,10.29,broken clouds,0.0,0,Residence 'I Delfini'
198,198,Kudahuvadhoo,MV,2.67,72.89,83.66,71,98,8.59,overcast clouds,0.0,0,Kudahuvadhoo Retreat
199,199,Batticaloa,LK,7.71,81.69,79.84,81,98,6.22,overcast clouds,0.0,0,Grand Star Guest House
200,200,Puerto Colombia,CO,10.99,-74.95,87.8,70,40,4.7,scattered clouds,0.0,0,Hotel El Emigrante
201,201,Contramaestre,CU,20.3,-76.24,89.6,55,75,6.93,broken clouds,0.0,0,Hotel Caribeño
202,202,Hirara,JP,24.8,125.28,84.2,83,75,13.87,broken clouds,0.0,0,Hotel Atoll Emerald Miyakojima
203,203,Chapais,CA,49.78,-74.85,84.2,39,75,5.82,broken clouds,0.0,0,Hôtel Opémiska
