City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
69,Rocha,UY,-34.48,-54.33,42.44,78,21,7.74,few clouds,0.0,0
70,Zhigansk,RU,66.77,123.37,66.47,46,73,5.37,broken clouds,0.0,0
71,Mnogovershinnyy,RU,53.94,139.92,54.32,81,94,4.0,overcast clouds,0.0,0
72,Bintulu,MY,3.17,113.03,75.2,100,40,7.27,light rain,0.0,0
73,Gigante,CO,2.39,-75.55,87.8,45,20,5.82,few clouds,0.0,0
74,Oksfjord,NO,70.24,22.35,51.8,81,100,5.82,overcast clouds,0.0,0
75,Fare,PF,-16.7,-151.02,76.78,77,58,24.36,broken clouds,0.0,0
76,Kapaa,US,22.08,-159.32,84.99,100,90,17.22,moderate rain,0.0,0
77,Falam,MM,22.92,93.68,61.16,100,100,3.76,overcast clouds,1.02,0
78,Saldanha,ZA,-33.01,17.94,51.8,93,100,4.7,moderate rain,0.0,0
79,Airai,TL,-8.93,125.41,57.9,93,89,4.21,overcast clouds,1.33,0
80,Pallasovka,RU,50.05,46.88,75.7,59,100,4.76,overcast clouds,0.0,0
81,Krynychky,UA,48.38,34.47,60.8,72,0,6.71,clear sky,0.0,0
82,Lorengau,PG,-2.02,147.27,84.04,74,84,9.82,light rain,0.0,0
83,Tuatapere,NZ,-46.13,167.68,47.32,81,94,7.11,overcast clouds,0.24,0
84,Mar Del Plata,AR,-38.0,-57.56,46.99,70,100,12.75,overcast clouds,0.0,0
85,Arman,RU,59.7,150.17,52.21,95,100,0.83,moderate rain,0.0,0
86,Trabzon,TR,40.92,39.83,73.4,73,75,4.7,broken clouds,2.39,0
87,Pangkalanbuun,ID,-2.68,111.62,73.09,99,93,1.97,moderate rain,0.0,0
88,Samarai,PG,-10.62,150.67,78.48,88,99,20.47,moderate rain,0.0,0
89,Castro,BR,-24.79,-50.01,47.01,70,88,0.76,overcast clouds,0.0,0
90,Rakai,UG,-0.72,31.48,59.29,67,2,1.48,clear sky,0.0,0
91,Namatanai,PG,-3.67,152.43,84.06,70,41,6.42,light rain,0.0,0
92,Vung Tau,VN,10.35,107.08,80.96,82,100,3.4,overcast clouds,0.18,0
93,Manchester,GB,53.48,-2.24,55.0,100,90,4.7,light intensity drizzle,0.0,0
94,Jaciara,BR,-15.97,-54.97,69.33,69,21,4.45,few clouds,0.0,0
95,Norman Wells,CA,65.28,-126.83,64.4,52,75,4.7,broken clouds,0.0,0
96,Roebourne,AU,-20.78,117.13,64.47,29,16,16.35,few clouds,0.0,0
97,Tual,ID,-5.67,132.75,79.72,84,92,19.17,light rain,0.0,0
98,Faya,SA,18.39,42.45,73.4,40,20,3.13,few clouds,0.48,0
99,New Norfolk,AU,-42.78,147.06,37.0,93,65,2.13,broken clouds,0.0,0
100,Darhan,MN,49.49,105.92,58.91,77,100,5.73,overcast clouds,0.0,0
101,Korla,CN,41.76,86.15,78.84,31,100,12.12,overcast clouds,0.0,0
102,Saint Anthony,US,45.02,-93.22,81.0,69,90,6.93,overcast clouds,0.0,0
103,Luderitz,NA,-26.65,15.16,53.6,93,0,9.17,clear sky,0.0,0
104,Soe,ID,-9.86,124.28,63.43,95,92,5.66,overcast clouds,0.0,0
105,Viedma,AR,-40.81,-63.0,50.18,57,100,26.26,overcast clouds,0.0,0
106,Cidreira,BR,-30.18,-50.21,51.15,71,0,12.84,clear sky,0.0,0
107,Qinhuangdao,CN,39.93,119.59,72.05,65,98,3.27,overcast clouds,0.0,0
108,Tommot,RU,58.96,126.29,65.1,76,64,10.42,broken clouds,0.0,0
109,Kolokani,ML,13.57,-8.03,73.58,77,98,9.75,light rain,0.0,0
110,Tres Arroyos,AR,-38.37,-60.28,46.33,59,100,16.73,overcast clouds,0.41,0
111,Bulgan,MN,48.81,103.53,52.36,83,100,3.76,overcast clouds,0.0,0
112,East London,ZA,-33.02,27.91,67.55,52,10,2.04,clear sky,0.0,0
113,Cabo San Lucas,MX,22.89,-109.91,90.0,70,75,13.87,broken clouds,0.0,0
114,Togur,RU,58.36,82.83,56.44,94,83,6.04,broken clouds,0.0,0
115,Lakes Entrance,AU,-37.88,147.98,39.99,97,100,3.67,overcast clouds,0.0,0
116,Isla Vista,US,34.41,-119.86,80.01,72,1,10.29,fog,0.0,0
117,Puerto Carreno,CO,6.19,-67.49,91.4,49,20,6.93,few clouds,0.0,0
118,Pran Buri,TH,12.38,99.91,78.91,81,100,4.29,overcast clouds,0.0,0
119,Cairns,AU,-16.92,145.77,73.0,88,75,10.29,light intensity shower rain,0.0,0
120,Tasiilaq,GL,65.61,-37.64,44.6,65,100,14.99,overcast clouds,0.51,0
121,Lebu,CL,-37.62,-73.65,53.91,93,100,23.44,moderate rain,0.0,0
122,Egvekinot,RU,66.32,-179.17,51.84,73,88,4.09,overcast clouds,1.86,0
123,Wladyslawowo,PL,54.79,18.4,59.0,82,100,10.18,moderate rain,0.0,0
124,Galesong,ID,-5.32,119.37,77.0,100,20,3.36,few clouds,1.88,0
125,Bluff,NZ,-46.6,168.33,50.07,80,86,15.9,overcast clouds,0.0,0
126,Thompson,CA,55.74,-97.86,62.6,82,90,10.29,light intensity shower rain,0.0,0
127,Hamilton,US,39.18,-84.53,87.01,74,1,2.62,clear sky,0.0,0
128,Los Llanos De Aridane,ES,28.66,-17.92,71.6,78,10,16.11,clear sky,0.0,0
129,Qaanaaq,GL,77.48,-69.36,46.81,55,99,1.05,overcast clouds,0.0,0
130,Khatanga,RU,71.97,102.5,53.87,60,15,17.76,few clouds,0.0,0
131,Doha,QA,25.29,51.53,97.0,89,13,3.36,few clouds,0.0,0
132,Kavieng,PG,-2.57,150.8,83.62,71,86,7.07,light rain,0.0,0
133,Nanortalik,GL,60.14,-45.24,45.12,93,100,10.54,overcast clouds,0.65,0
134,Sidney,AU,-33.87,151.21,53.6,87,75,8.05,mist,0.0,0
135,Okha,RU,53.57,142.95,50.27,96,100,7.36,overcast clouds,0.0,0
136,Ouesso,CG,1.61,16.05,73.85,84,100,2.73,overcast clouds,0.0,0
137,Quatre Cocos,MU,-20.21,57.76,71.6,78,75,18.34,shower rain,0.0,0
138,Bethel,US,41.37,-73.41,86.0,62,1,10.29,clear sky,0.0,0
139,Sao Filipe,CV,14.9,-24.5,74.5,86,53,10.63,broken clouds,0.0,0
140,Saravena,CO,6.95,-71.88,76.41,80,82,1.39,light rain,0.0,0
141,Tiksi,RU,71.69,128.87,36.19,89,83,8.68,broken clouds,0.12,0
142,Mahina,PF,-17.51,-149.49,84.2,54,20,6.93,few clouds,0.0,0
143,Ketchikan,US,55.34,-131.65,62.6,72,75,16.11,broken clouds,0.0,0
144,Victoria,HK,22.29,114.16,86.0,74,100,11.01,overcast clouds,0.0,0
145,Comodoro Rivadavia,AR,-45.87,-67.5,42.8,70,74,6.93,broken clouds,0.0,0
146,Kutum,SD,14.2,24.67,76.84,58,64,8.23,broken clouds,0.0,0
147,Along,IN,28.17,94.77,74.23,91,100,1.79,moderate rain,0.0,0
148,Fairbanks,US,64.84,-147.72,60.01,87,75,4.7,moderate rain,1.41,0
149,San Quintin,MX,30.48,-115.95,72.45,63,9,12.97,clear sky,1.02,0
150,Riyadh,SA,24.69,46.72,89.6,15,35,4.7,scattered clouds,0.0,0
151,Gwanda,ZW,-20.93,29.0,54.14,82,0,5.77,clear sky,0.0,0
152,Guatire,VE,10.48,-66.54,75.99,64,11,4.0,few clouds,0.0,0
153,Esperance,AU,-33.87,121.9,46.4,87,40,8.05,scattered clouds,0.0,0
154,Tungor,RU,53.38,142.96,50.79,96,100,6.82,overcast clouds,0.0,0
155,San Pedro,PH,14.35,121.02,84.0,83,20,1.12,few clouds,0.0,0
156,Yanam,IN,16.73,82.22,79.99,87,92,4.63,moderate rain,0.0,0
157,Uberlandia,BR,-18.92,-48.28,69.8,60,0,10.29,clear sky,1.12,0
158,Barrow,US,71.29,-156.79,39.2,80,40,10.29,scattered clouds,0.0,0
159,Panzhihua,CN,26.59,101.71,73.11,77,100,1.59,overcast clouds,0.0,0
160,Zaysan,KZ,47.47,84.87,63.54,47,0,8.28,clear sky,0.0,0
161,Wanning,CN,18.8,110.4,82.18,84,100,12.5,overcast clouds,0.0,0
162,Harper,LR,4.38,-7.72,76.3,83,100,9.6,overcast clouds,0.0,0
163,Souillac,MU,-20.52,57.52,71.6,78,75,18.34,shower rain,0.0,0
164,Adrar,MR,20.5,-10.07,95.04,9,0,9.66,clear sky,0.0,0
165,Bairiki,KI,1.33,172.98,86.0,70,20,10.29,few clouds,0.0,0
166,Ancud,CL,-41.87,-73.82,45.0,87,90,8.05,overcast clouds,0.0,0
167,Port Hedland,AU,-20.32,118.57,57.2,26,0,10.29,clear sky,0.0,0
168,Basco,PH,20.45,121.97,84.34,79,96,11.16,overcast clouds,0.0,0
169,Broome,US,42.25,-75.83,90.0,48,1,4.7,clear sky,0.0,0
170,Okhotsk,RU,59.38,143.3,53.26,91,100,5.99,overcast clouds,0.0,0
171,Portland,US,45.52,-122.68,77.0,49,75,3.36,broken clouds,0.0,0
172,Provideniya,RU,64.38,-173.3,51.8,76,20,13.42,few clouds,0.0,0
173,Jijiga,ET,9.35,42.8,64.87,75,99,14.72,overcast clouds,0.0,0
174,Bengkulu,ID,-3.8,102.27,75.34,88,100,7.25,overcast clouds,0.0,0
175,Ribeira Grande,PT,38.52,-28.7,68.0,72,75,5.82,broken clouds,0.0,0
176,Maniitsoq,GL,65.42,-52.9,40.48,98,100,15.17,light rain,0.0,0
177,Emporia,US,38.4,-96.18,84.2,62,1,9.17,clear sky,0.49,0
178,Maragogi,BR,-9.01,-35.22,75.7,86,47,7.74,light rain,0.0,0
179,College,US,64.86,-147.8,61.0,93,90,4.7,light rain,0.72,0
180,Talcahuano,CL,-36.72,-73.12,53.6,100,90,10.29,light intensity drizzle,0.0,0
181,Kulunda,RU,52.57,78.94,68.22,85,66,9.08,broken clouds,0.0,0
182,Malanje,AO,-9.54,16.34,62.92,66,0,6.71,clear sky,0.0,0
183,Balashov,RU,51.55,43.17,62.01,85,8,5.99,clear sky,0.0,0
184,Batemans Bay,AU,-35.72,150.18,46.99,100,100,3.87,overcast clouds,0.0,0
185,Killarney,IE,52.05,-9.52,48.36,88,0,5.88,clear sky,0.0,0
186,Vyartsilya,RU,62.18,30.69,46.29,94,0,5.57,clear sky,0.0,0
187,Port Blair,IN,11.67,92.75,81.21,81,100,9.93,light rain,0.0,0
188,Marawi,PH,8.0,124.29,75.0,89,30,4.0,scattered clouds,0.24,0
189,Taber,CA,49.82,-112.15,73.4,38,75,3.36,broken clouds,0.0,0
190,Guia Lopes Da Laguna,BR,-21.46,-56.11,61.02,60,96,5.48,overcast clouds,0.0,0
191,Ayagoz,KZ,47.97,80.44,60.39,76,0,6.49,clear sky,0.0,0
192,Kaeo,NZ,-35.1,173.78,54.0,3,37,1.01,scattered clouds,0.0,0
193,Vila Do Maio,CV,15.13,-23.22,78.8,74,75,10.29,broken clouds,0.0,0
194,Vila Franca Do Campo,PT,37.72,-25.43,68.0,72,75,8.05,broken clouds,0.0,0
195,San Vicente De Canete,PE,-13.08,-76.38,61.81,80,5,6.62,clear sky,0.0,0
196,Port Elizabeth,ZA,-33.92,25.57,59.0,82,56,8.05,broken clouds,0.0,0
197,Margate,GB,51.38,1.39,64.0,70,100,4.0,overcast clouds,0.0,0
198,Kudahuvadhoo,MV,2.67,72.89,83.66,71,98,8.59,overcast clouds,0.0,0
199,Batticaloa,LK,7.71,81.69,79.84,81,98,6.22,overcast clouds,0.0,0
200,Puerto Colombia,CO,10.99,-74.95,87.8,70,40,4.7,scattered clouds,0.0,0
201,Contramaestre,CU,20.3,-76.24,89.6,55,75,6.93,broken clouds,0.0,0
202,Hirara,JP,24.8,125.28,84.2,83,75,13.87,broken clouds,0.0,0
203,Chapais,CA,49.78,-74.85,84.2,39,75,5.82,broken clouds,0.0,0
204,Alofi,NU,-19.06,-169.92,78.8,83,75,4.7,broken clouds,0.0,0
205,Baghdad,IQ,33.34,44.4,95.0,24,0,9.17,clear sky,0.0,0
206,Najran,SA,17.49,44.13,91.4,16,71,3.36,broken clouds,0.0,0
207,Fort Nelson,CA,58.81,-122.7,62.6,77,75,2.01,broken clouds,0.0,0
208,Kingisepp,RU,59.37,28.61,47.52,92,0,3.6,clear sky,0.0,0
209,Rio Grande,BR,-32.03,-52.1,42.01,94,0,12.08,clear sky,0.0,0
210,Vilhena,BR,-12.74,-60.15,73.47,55,19,1.97,few clouds,0.0,0
211,Winnemucca,US,40.97,-117.74,93.2,8,1,19.46,clear sky,0.0,0
212,Meulaboh,ID,4.14,96.13,75.63,80,99,4.16,overcast clouds,0.0,0
213,Koungou,YT,-12.73,45.2,78.8,69,90,18.34,overcast clouds,0.0,0
214,Dicabisagan,PH,17.08,122.42,82.56,74,50,5.5,scattered clouds,0.0,0
215,Kathu,TH,7.92,98.33,84.0,94,40,2.24,scattered clouds,0.0,0
216,Sankt Johann Im Pongau,AT,47.35,13.2,68.0,72,8,9.17,clear sky,0.0,0
217,Boundiali,CI,9.52,-6.49,71.96,95,85,4.59,light rain,0.0,0
218,Tubuala,PA,9.52,-79.03,86.0,70,20,9.17,few clouds,0.52,0
219,Talnakh,RU,69.49,88.4,53.6,93,21,24.61,few clouds,0.0,0
220,Megion,RU,61.03,76.11,57.2,71,75,8.95,broken clouds,0.0,0
221,Tanout,NE,14.97,8.89,95.77,22,98,4.07,overcast clouds,0.0,0
222,Saint George,US,37.1,-113.58,102.99,5,1,5.82,clear sky,0.0,0
223,Taltal,CL,-25.4,-70.48,58.96,65,13,4.25,few clouds,0.0,0
224,Yahotyn,UA,50.28,31.76,51.8,93,3,2.8,clear sky,0.0,0
225,Maxixe,MZ,-23.86,35.35,66.83,81,0,5.64,clear sky,0.0,0
226,Thabazimbi,ZA,-24.59,27.41,50.0,84,0,4.36,clear sky,0.0,0
227,Beloha,MG,-25.17,45.05,63.3,66,0,9.84,clear sky,0.0,0
228,Siderno,IT,38.28,16.3,77.0,88,5,6.24,clear sky,0.0,0
229,Asau,RO,46.43,26.4,59.0,92,1,4.41,clear sky,0.0,0
230,Pitea,SE,65.32,21.48,55.4,87,95,2.24,overcast clouds,0.0,0
231,Lindi,TZ,-10.0,39.72,73.4,94,40,9.17,scattered clouds,0.0,0
232,Salalah,OM,17.02,54.09,82.4,88,75,3.36,broken clouds,0.0,0
233,Touros,BR,-5.2,-35.46,77.0,88,40,3.36,scattered clouds,0.0,0
234,Enumclaw,US,47.2,-121.99,73.0,64,61,3.0,light rain,0.0,0
235,Ambovombe,MG,-25.17,46.08,61.63,85,0,5.88,clear sky,0.14,0
236,Rio Branco Do Sul,BR,-25.19,-49.31,51.8,66,83,3.36,broken clouds,0.0,0
237,Hithadhoo,MV,-0.6,73.08,84.36,72,81,7.0,broken clouds,0.0,0
238,Butaritari,KI,3.07,172.79,83.53,77,2,14.7,light rain,0.0,0
239,Torbay,CA,47.67,-52.73,57.0,76,90,10.29,overcast clouds,0.0,0
240,Bolzano,IT,46.49,11.33,63.0,100,90,6.93,fog,0.0,0
241,Dikson,RU,73.51,80.55,42.46,84,0,13.71,clear sky,0.0,0
242,Fort Saint James,CA,54.43,-124.25,67.64,39,95,6.24,overcast clouds,0.0,0
243,Port Said,EG,31.26,32.28,78.8,83,1,3.36,clear sky,0.0,0
244,Hilton Head Island,US,32.22,-80.75,87.01,79,75,10.29,broken clouds,0.0,0
245,Nabire,ID,-3.37,135.48,79.83,76,38,2.62,scattered clouds,0.0,0
246,Rochegda,RU,62.8,43.25,52.66,97,86,5.23,overcast clouds,0.0,0
247,Hirna,ET,9.22,41.1,61.81,81,98,8.05,overcast clouds,0.0,0
248,Fuling,CN,29.7,107.39,78.08,85,100,1.3,overcast clouds,0.0,0
249,Puerto Del Rosario,ES,28.5,-13.86,71.6,78,20,18.34,few clouds,0.0,0
250,Lompoc,US,34.64,-120.46,69.01,68,10,14.99,clear sky,0.0,0
251,Oyem,GA,1.6,11.58,67.37,99,100,3.11,light rain,0.0,0
252,Itarema,BR,-2.92,-39.92,79.23,75,2,13.94,clear sky,0.85,0
253,Hermanus,ZA,-34.42,19.23,52.0,88,100,14.61,moderate rain,0.0,0
254,Phalodi,IN,27.13,72.37,87.62,62,12,20.78,few clouds,0.0,0
255,Tokonou,GN,9.65,-9.78,70.03,96,100,8.66,overcast clouds,0.0,0
256,Beni Suef,EG,29.07,31.1,78.01,68,0,9.64,clear sky,0.0,0
257,Goderich,CA,43.75,-81.72,84.99,83,55,11.01,light rain,0.0,0
258,Khandyga,RU,62.67,135.6,71.82,44,4,4.18,clear sky,0.15,0
259,Tocopilla,CL,-22.09,-70.2,58.89,67,21,1.25,few clouds,0.0,0
260,Iaciara,BR,-14.1,-46.63,72.61,36,0,6.76,clear sky,0.0,0
261,Qianan,CN,44.99,124.06,75.06,52,0,5.86,clear sky,0.0,0
262,Tikapur,NP,28.5,81.13,81.01,86,100,3.22,light rain,0.0,0
263,Laje,BR,-10.18,-40.97,68.43,85,56,9.19,broken clouds,0.98,0
264,Hun,LY,29.13,15.95,77.32,62,0,6.58,clear sky,0.0,0
265,Sovkhoznyy,RU,45.29,38.11,62.01,82,0,4.47,clear sky,0.0,0
266,Port Lincoln,AU,-34.73,135.87,53.49,82,88,10.27,light rain,0.0,0
267,Lagoa,PT,39.05,-27.98,69.03,71,14,3.31,few clouds,0.42,0
268,Kannod,IN,22.67,76.73,79.38,81,69,10.4,light rain,0.0,0
269,Palembang,ID,-2.92,104.75,73.4,100,20,2.57,mist,0.23,0
270,Poum,NC,-20.23,164.02,70.72,74,34,13.96,scattered clouds,0.0,0
271,Cherskiy,RU,68.75,161.3,56.68,80,99,5.23,overcast clouds,0.0,0
272,Severo-Kurilsk,RU,50.68,156.12,49.41,95,100,8.01,light rain,0.0,0
273,Gasa,PS,31.5,34.47,79.0,75,0,2.57,clear sky,0.37,0
274,Pisco,PE,-13.7,-76.22,64.4,68,20,14.99,few clouds,0.0,0
