City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Kapaa,US,2020-07-08 15:23:34,22.08,-159.32,78.8,74,75,17.22
70,Kuznechnoye,RU,2020-07-08 15:23:34,61.12,29.87,66.99,51,74,3.87
71,Lengshuijiang,CN,2020-07-08 15:23:34,27.69,111.43,76.1,92,100,1.05
72,Taltal,CL,2020-07-08 15:23:35,-25.4,-70.48,69.3,24,0,4.38
73,New Norfolk,AU,2020-07-08 15:23:35,-42.78,147.06,37.99,91,0,2.57
74,Hirara,JP,2020-07-08 15:23:35,24.8,125.28,83.77,81,100,16.08
75,Puerto Ayora,EC,2020-07-08 15:23:35,-0.74,-90.35,68.0,95,90,5.01
76,Bozhou,CN,2020-07-08 15:23:35,33.88,115.77,78.28,68,33,7.36
77,Borujerd,IR,2020-07-08 15:23:35,33.9,48.75,88.39,17,95,9.66
78,Salalah,OM,2020-07-08 15:23:35,17.02,54.09,82.4,88,40,9.17
79,Wad Rawah,SD,2020-07-08 15:23:36,15.16,33.14,96.53,30,98,11.21
80,Sitka,US,2020-07-08 15:23:36,57.05,-135.33,55.4,87,90,3.36
81,Houston,US,2020-07-08 15:19:17,29.76,-95.36,89.01,66,40,13.87
82,San Ignacio,BZ,2020-07-08 15:23:36,17.16,-89.07,84.99,88,20,4.7
83,Toppenish,US,2020-07-08 15:23:36,46.38,-120.31,62.6,59,1,2.93
84,Olinda,BR,2020-07-08 15:23:36,-8.01,-34.86,84.2,66,40,5.82
85,Vao,NC,2020-07-08 15:23:37,-22.67,167.48,68.49,62,98,15.08
86,Cockburn Town,TC,2020-07-08 15:20:42,21.46,-71.14,86.0,74,75,12.75
87,College,US,2020-07-08 15:23:37,64.86,-147.8,55.4,76,90,9.17
88,Hudiksvall,SE,2020-07-08 15:23:37,61.73,17.1,57.99,74,2,1.99
89,Bengkulu,ID,2020-07-08 15:23:37,-3.8,102.27,76.44,88,100,5.28
90,Cidreira,BR,2020-07-08 15:19:41,-30.18,-50.21,62.78,87,100,14.81
91,Cape Town,ZA,2020-07-08 15:21:57,-33.93,18.42,73.0,59,38,5.82
92,Sijunjung,ID,2020-07-08 15:23:37,-0.69,100.95,71.73,91,100,1.3
93,Qaanaaq,GL,2020-07-08 15:23:38,77.48,-69.36,46.85,54,0,6.55
94,Dikson,RU,2020-07-08 15:23:38,73.51,80.55,45.77,77,24,13.15
95,Mahebourg,MU,2020-07-08 15:23:38,-20.41,57.7,71.6,73,75,13.87
96,Chuy,UY,2020-07-08 15:23:38,-33.7,-53.46,50.49,91,100,7.14
97,Atuona,PF,2020-07-08 15:23:38,-9.8,-139.03,79.39,75,6,12.55
98,Jasper,US,2020-07-08 15:23:39,37.2,-94.35,84.99,69,1,6.93
99,Bhag,PK,2020-07-08 15:23:39,29.04,67.82,107.11,20,81,14.43
100,Ribeira Grande,PT,2020-07-08 15:23:39,38.52,-28.7,71.6,78,75,12.75
101,Hermanus,ZA,2020-07-08 15:23:39,-34.42,19.23,66.99,57,8,5.19
102,Papara,BR,2020-07-08 15:23:39,-3.98,-38.73,86.0,58,40,12.75
103,Kentau,KZ,2020-07-08 15:23:39,43.52,68.51,85.57,21,0,12.64
104,Cherskiy,RU,2020-07-08 15:23:39,68.75,161.3,54.43,74,0,3.67
105,Jalalpur,PK,2020-07-08 15:23:40,32.64,74.22,89.6,59,20,6.93
106,Marysville,US,2020-07-08 15:22:02,48.05,-122.18,59.0,87,90,3.36
107,Lorengau,PG,2020-07-08 15:23:40,-2.02,147.27,81.63,82,70,10.69
108,Yellowknife,CA,2020-07-08 15:20:39,62.46,-114.35,57.99,67,20,3.36
109,Pavelets,RU,2020-07-08 15:23:40,53.79,39.25,75.56,84,100,9.53
110,Samarai,PG,2020-07-08 15:23:40,-10.62,150.67,78.3,87,82,18.14
111,Tuatapere,NZ,2020-07-08 15:23:41,-46.13,167.68,39.0,83,100,3.0
112,Somerset,US,2020-07-08 15:23:41,40.57,-74.55,82.0,78,90,5.82
113,Piacabucu,BR,2020-07-08 15:23:41,-10.41,-36.43,80.87,68,9,3.96
114,Severo-Kurilsk,RU,2020-07-08 15:23:41,50.68,156.12,48.4,92,100,14.85
115,Pevek,RU,2020-07-08 15:23:41,69.7,170.31,42.57,77,100,1.07
116,Iqaluit,CA,2020-07-08 15:23:41,63.75,-68.51,44.6,87,75,3.36
117,Pacific Grove,US,2020-07-08 15:22:40,36.62,-121.92,55.4,87,90,3.36
118,Blagoyevo,RU,2020-07-08 15:23:42,63.37,47.92,80.58,58,24,11.32
119,Victoria,HK,2020-07-08 15:22:23,22.29,114.16,86.0,74,100,17.0
120,Kyshtovka,RU,2020-07-08 15:23:42,56.55,76.63,72.48,80,90,5.84
121,Axim,GH,2020-07-08 15:23:42,4.87,-2.24,79.59,77,63,12.41
122,Ayan,RU,2020-07-08 15:23:42,56.45,138.17,47.79,93,9,6.11
123,Coihueco,CL,2020-07-08 15:23:43,-36.62,-71.83,44.6,100,75,5.82
124,Dubbo,AU,2020-07-08 15:19:09,-32.25,148.62,48.2,87,0,11.41
125,Saint-Augustin,CA,2020-07-08 15:23:43,51.23,-58.65,65.48,63,83,21.34
126,Torbay,CA,2020-07-08 15:23:43,47.67,-52.73,63.0,67,40,8.05
127,Srednekolymsk,RU,2020-07-08 15:23:43,67.45,153.68,51.96,85,55,10.74
128,San Andres,CO,2020-07-08 15:23:43,12.58,-81.7,86.0,79,90,10.29
129,Kaitangata,NZ,2020-07-08 15:23:43,-46.28,169.85,44.01,74,100,11.01
130,San Rafael Del Sur,NI,2020-07-08 15:23:44,11.85,-86.44,84.2,70,40,9.17
131,Souillac,MU,2020-07-08 15:23:44,-20.52,57.52,71.6,73,75,13.87
132,Caravelas,BR,2020-07-08 15:23:44,-17.71,-39.25,79.84,50,0,5.59
133,Mayo,US,2020-07-08 15:23:44,38.89,-76.51,86.0,83,20,11.41
134,Saint-Philippe,RE,2020-07-08 15:23:44,-21.36,55.77,71.6,73,3,17.22
135,Tessalit,ML,2020-07-08 15:23:44,20.2,1.01,110.32,6,0,8.43
136,Suntar,RU,2020-07-08 15:23:45,62.14,117.63,56.84,74,44,5.23
137,Ciudad Bolivar,VE,2020-07-08 15:23:45,8.12,-63.55,87.31,59,2,10.47
138,Coquimbo,CL,2020-07-08 15:23:45,-29.95,-71.34,60.8,59,15,4.7
139,Umm Lajj,SA,2020-07-08 15:23:45,25.02,37.27,89.67,45,0,6.2
140,Waipawa,NZ,2020-07-08 15:23:45,-41.41,175.52,48.2,66,100,33.33
141,Mount Gambier,AU,2020-07-08 15:23:46,-37.83,140.77,48.2,76,90,10.29
